"","X","SiteUID","Paper_ID","Treatment","UniqueFragID","Fragment_size_ha","Response","Sample_size_sum","Mist_net_hours","site_value","Cont_Paper_ID","Cont_SiteUID","Cont_UniqueFragID","Cont_Fragment_size_ha","Cont_Sample_size_sum","Cont_Value","lnRR","Comparison","Type","Partner_Paper_ID","Partner_SiteUID","Partner_UniqueFragID","Partner_Fragment_size_ha","Partner_Sample_size_sum","Partner_site_value","Response_site","Mist_net_hours_site","Sample_size","Rate","Treatment_site","UniqueFragID_site","Unique_name","Fragment_size_ha_site","Latitude","Longitude","Matrix_mean","Forest_Group","Elevation","Rainfall_mm","Forest_type","Country","Publication.Year","SiteUID_new","Cont_loc_key_new","Cont_SiteUID_generated_new","Cont_SiteUID_new","pooled_cont_new","lnRR_input","Value","nt","nc","nt_fix","nc_fix","vi_raw","vi","se_obs","lnRR_for_plot","Elevation_s","Rainfall_mm_s","Latitude_s","Longitude_s","Fragment_size_ha_s","forest_area_ref_ha","log_forest_area_ref","log_forest_area_ref_s","log_size_small","log_size_small_s","lnRR_plot"
"899",918,"Frag__41_-1.52268922_-59.82890426_1.15_NA",41,"Frag","41_-1.52268922_-59.82890426_1.15_NA",1.15,3,1,52,3,NA,NA,NA,NA,NA,NA,0.847297860387204,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.766578965_-59.36342323_5.85_NA","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,3,52,1,0.0576923076923077,"Frag","41_-1.52268922_-59.82890426_1.15_NA",NA,1.15,-1.52268922,-59.82890426,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.52268922_-59.82890426_1.15_NA",NA,NA,NA,FALSE,3,3,1,1,1,1,2,2,1.4142135623731,-0.847297860387204,-0.626308882313611,0.666590089376158,-0.594323727572276,-0.870922600106392,-0.243538900111508,5.85,1.76644166124377,-1.34637793664795,0.139761942375159,-1.23380766361847,-0.847297860387204
"900",919,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-1.09861228866811,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.559914341_-59.89267806_98.84_NA","41_-1.559914341_-59.89267806_98.84_NA",98.84,1,4,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,1.09861228866811,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,98.84,4.59350238112041,-0.205780639442107,1.76644166124377,-0.454162996721566,1.09861228866811
"901",920,"Frag__41_-1.584634166_-59.87229394_2.17_NA",41,"Frag","41_-1.584634166_-59.87229394_2.17_NA",2.17,2,1,52,2,NA,NA,NA,NA,NA,NA,0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.766578965_-59.36342323_5.85_NA","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,2,52,1,0.0384615384615385,"Frag","41_-1.584634166_-59.87229394_2.17_NA",NA,2.17,-1.584634166,-59.87229394,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.584634166_-59.87229394_2.17_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,-0.510825623765991,-0.626308882313611,0.666590089376158,-0.598793069787423,-0.871423881945865,-0.241774275308855,5.85,1.76644166124377,-1.34637793664795,0.774727167552368,-0.929477778803332,-0.510825623765991
"902",921,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-0.847297860387204,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.588499565_-59.83551205_9.54_NA","41_-1.588499565_-59.83551205_9.54_NA",9.54,1,3,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,0.847297860387204,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,9.54,2.2554934854602,-1.14906657896364,1.76644166124377,-0.454162996721566,0.847297860387204
"903",922,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-0.847297860387204,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.596100945_-59.6328575_1690.04_NA","41_-1.596100945_-59.6328575_1690.04_NA",1690.04,1,3,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,0.847297860387204,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,1690.04,7.43250747627607,0.939635698990646,1.76644166124377,-0.454162996721566,0.847297860387204
"904",923,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-1.29928298413026,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.627177857_-59.76307791_231.39_NA","41_-1.627177857_-59.76307791_231.39_NA",231.39,1,5,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,1.29928298413026,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,231.39,5.44410459861402,0.137400737402477,1.76644166124377,-0.454162996721566,1.29928298413026
"905",924,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-0.847297860387204,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.648455486_-59.83199249_673.35_NA","41_-1.648455486_-59.83199249_673.35_NA",673.35,1,3,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,0.847297860387204,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,673.35,6.51226525389605,0.568357578134737,1.76644166124377,-0.454162996721566,0.847297860387204
"906",925,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-1.09861228866811,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.663733767_-59.71376969_471_NA","41_-1.663733767_-59.71376969_471_NA",471,1,4,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,1.09861228866811,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,471,6.15485809401642,0.424159175286668,1.76644166124377,-0.454162996721566,1.09861228866811
"907",926,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-1.09861228866811,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.68181303_-59.65279017_72.1_NA","41_-1.68181303_-59.65279017_72.1_NA",72.1,1,4,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,1.09861228866811,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,72.1,4.2780540442909,-0.333050463491557,1.76644166124377,-0.454162996721566,1.09861228866811
"908",927,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.69718653_-59.61203811_78.44_NA","41_-1.69718653_-59.61203811_78.44_NA",78.44,1,2,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,0.510825623765991,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,78.44,4.36233400132815,-0.299047129028512,1.76644166124377,-0.454162996721566,0.510825623765991
"909",928,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-1.09861228866811,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.697857752_-59.78429368_218.74_NA","41_-1.697857752_-59.78429368_218.74_NA",218.74,1,4,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,1.09861228866811,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,218.74,5.38788380990708,0.114718069430382,1.76644166124377,-0.454162996721566,1.09861228866811
"910",929,"Frag__41_-1.718200967_-59.75856719_0.83_NA",41,"Frag","41_-1.718200967_-59.75856719_0.83_NA",0.83,3,1,52,3,NA,NA,NA,NA,NA,NA,0.847297860387204,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.766578965_-59.36342323_5.85_NA","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,3,52,1,0.0576923076923077,"Frag","41_-1.718200967_-59.75856719_0.83_NA",NA,0.83,-1.718200967,-59.75856719,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.718200967_-59.75856719_0.83_NA",NA,NA,NA,FALSE,3,3,1,1,1,1,2,2,1.4142135623731,-0.847297860387204,-0.626308882313611,0.666590089376158,-0.608429945445551,-0.870109994532145,-0.244092507892732,5.85,1.76644166124377,-1.34637793664795,-0.186329578191493,-1.39009873430749,-0.847297860387204
"911",930,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-0.847297860387204,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.739252703_-59.70506215_637.49_NA","41_-1.739252703_-59.70506215_637.49_NA",637.49,1,3,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,0.847297860387204,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,637.49,6.45753859063504,0.546277725458872,1.76644166124377,-0.454162996721566,0.847297860387204
"912",931,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-1.29928298413026,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.73969619_-59.44704839_193_NA","41_-1.73969619_-59.44704839_193_NA",193,1,5,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,1.29928298413026,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,193,5.26269018890489,0.064207832866115,1.76644166124377,-0.454162996721566,1.29928298413026
"913",932,"Frag__41_-1.766578965_-59.36342323_5.85_NA",41,"Frag","41_-1.766578965_-59.36342323_5.85_NA",5.85,1,1,52,1,NA,NA,NA,NA,NA,NA,-1.29928298413026,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.762404777_-59.67868363_13.41_NA","41_-1.762404777_-59.67868363_13.41_NA",13.41,1,5,1,52,1,0.0192307692307692,"Frag","41_-1.766578965_-59.36342323_5.85_NA",NA,5.85,-1.766578965,-59.36342323,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.766578965_-59.36342323_5.85_NA",NA,NA,NA,FALSE,1,1,1,1,1,1,2,2,1.4142135623731,1.29928298413026,-0.626308882313611,0.666590089376158,-0.611920429217152,-0.865544888471772,-0.235407785824775,13.41,2.59600069729359,-1.01168657761962,1.76644166124377,-0.454162996721566,1.29928298413026
"914",933,"Frag__41_-1.488945521_-59.78692275_17.45_NA",41,"Frag","41_-1.488945521_-59.78692275_17.45_NA",17.45,4,1,52,4,NA,NA,NA,NA,NA,NA,-0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,4,52,1,0.0769230769230769,"Frag","41_-1.488945521_-59.78692275_17.45_NA",NA,17.45,-1.488945521,-59.78692275,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.488945521_-59.78692275_17.45_NA",NA,NA,NA,FALSE,4,4,1,1,1,1,2,2,1.4142135623731,0.510825623765991,-0.626308882313611,0.666590089376158,-0.591889111866324,-0.870437586883047,-0.21533950375539,487.5,6.1892902904379,0.438051084257381,2.85933964864844,0.0696476080697972,0.510825623765991
"915",934,"Frag__41_-1.503196433_-59.82252505_53.3_NA",41,"Frag","41_-1.503196433_-59.82252505_53.3_NA",53.3,4,1,52,4,NA,NA,NA,NA,NA,NA,-0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,4,52,1,0.0769230769230769,"Frag","41_-1.503196433_-59.82252505_53.3_NA",NA,53.3,-1.503196433,-59.82252505,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.503196433_-59.82252505_53.3_NA",NA,NA,NA,FALSE,4,4,1,1,1,1,2,2,1.4142135623731,0.510825623765991,-0.626308882313611,0.666590089376158,-0.59291731847104,-0.870848900965877,-0.153318132015094,487.5,6.1892902904379,0.438051084257381,3.9759363311718,0.604816663481394,0.510825623765991
"916",935,"Frag__41_-1.507224608_-59.78904856_13.59_NA",41,"Frag","41_-1.507224608_-59.78904856_13.59_NA",13.59,2,1,52,2,NA,NA,NA,NA,NA,NA,-1.09861228866811,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,2,52,1,0.0384615384615385,"Frag","41_-1.507224608_-59.78904856_13.59_NA",NA,13.59,-1.507224608,-59.78904856,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.507224608_-59.78904856_13.59_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.09861228866811,-0.626308882313611,0.666590089376158,-0.593207952231177,-0.870462146408427,-0.222017397616409,487.5,6.1892902904379,0.438051084257381,2.60933422816305,-0.0501764670175316,1.09861228866811
"917",936,"Frag__41_-1.52268922_-59.82890426_1.15_NA",41,"Frag","41_-1.52268922_-59.82890426_1.15_NA",1.15,3,1,52,3,NA,NA,NA,NA,NA,NA,-0.762140052046897,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,3,52,1,0.0576923076923077,"Frag","41_-1.52268922_-59.82890426_1.15_NA",NA,1.15,-1.52268922,-59.82890426,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.52268922_-59.82890426_1.15_NA",NA,NA,NA,FALSE,3,3,1,1,1,1,2,2,1.4142135623731,0.762140052046897,-0.626308882313611,0.666590089376158,-0.594323727572276,-0.870922600106392,-0.243538900111508,487.5,6.1892902904379,0.438051084257381,0.139761942375159,-1.23380766361847,0.762140052046897
"918",937,"Frag__41_-1.559914341_-59.89267806_98.84_NA",41,"Frag","41_-1.559914341_-59.89267806_98.84_NA",98.84,4,1,52,4,NA,NA,NA,NA,NA,NA,-0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,4,52,1,0.0769230769230769,"Frag","41_-1.559914341_-59.89267806_98.84_NA",NA,98.84,-1.559914341,-59.89267806,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.559914341_-59.89267806_98.84_NA",NA,NA,NA,FALSE,4,4,1,1,1,1,2,2,1.4142135623731,0.510825623765991,-0.626308882313611,0.666590089376158,-0.597009528682656,-0.871659380091268,-0.0745328246495957,487.5,6.1892902904379,0.438051084257381,4.59350238112041,0.900807368789936,0.510825623765991
"919",938,"Frag__41_-1.584634166_-59.87229394_2.17_NA",41,"Frag","41_-1.584634166_-59.87229394_2.17_NA",2.17,2,1,52,2,NA,NA,NA,NA,NA,NA,-1.09861228866811,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,2,52,1,0.0384615384615385,"Frag","41_-1.584634166_-59.87229394_2.17_NA",NA,2.17,-1.584634166,-59.87229394,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.584634166_-59.87229394_2.17_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.09861228866811,-0.626308882313611,0.666590089376158,-0.598793069787423,-0.871423881945865,-0.241774275308855,487.5,6.1892902904379,0.438051084257381,0.774727167552368,-0.929477778803332,1.09861228866811
"920",939,"Frag__41_-1.588499565_-59.83551205_9.54_NA",41,"Frag","41_-1.588499565_-59.83551205_9.54_NA",9.54,3,1,52,3,NA,NA,NA,NA,NA,NA,-0.762140052046897,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,3,52,1,0.0576923076923077,"Frag","41_-1.588499565_-59.83551205_9.54_NA",NA,9.54,-1.588499565,-59.83551205,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.588499565_-59.83551205_9.54_NA",NA,NA,NA,FALSE,3,3,1,1,1,1,2,2,1.4142135623731,0.762140052046897,-0.626308882313611,0.666590089376158,-0.599071959221423,-0.87099894003621,-0.229023996097531,487.5,6.1892902904379,0.438051084257381,2.2554934854602,-0.219767348848281,0.762140052046897
"921",940,"Frag__41_-1.7681468_-59.75461755_487.5_NA",41,"Frag","41_-1.7681468_-59.75461755_487.5_NA",487.5,7,1,52,7,NA,NA,NA,NA,NA,NA,0.762140052046897,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.596100945_-59.6328575_1690.04_NA","41_-1.596100945_-59.6328575_1690.04_NA",1690.04,1,3,7,52,1,0.134615384615385,"Frag","41_-1.7681468_-59.75461755_487.5_NA",NA,487.5,-1.7681468,-59.75461755,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.7681468_-59.75461755_487.5_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-0.762140052046897,-0.626308882313611,0.666590089376158,-0.612033548875887,-0.870064364262356,0.597858426133768,1690.04,7.43250747627607,0.939635698990646,6.1892902904379,1.66564602668092,-0.762140052046897
"922",941,"Frag__41_-1.627177857_-59.76307791_231.39_NA",41,"Frag","41_-1.627177857_-59.76307791_231.39_NA",231.39,5,1,52,5,NA,NA,NA,NA,NA,NA,-0.31015492830384,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,5,52,1,0.0961538461538462,"Frag","41_-1.627177857_-59.76307791_231.39_NA",NA,231.39,-1.627177857,-59.76307791,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.627177857_-59.76307791_231.39_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,0.31015492830384,-0.626308882313611,0.666590089376158,-0.601862606956355,-0.870162106970378,0.15478189847945,487.5,6.1892902904379,0.438051084257381,5.44410459861402,1.3084890253737,0.31015492830384
"923",942,"Frag__41_-1.7681468_-59.75461755_487.5_NA",41,"Frag","41_-1.7681468_-59.75461755_487.5_NA",487.5,7,1,52,7,NA,NA,NA,NA,NA,NA,0.762140052046897,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.648455486_-59.83199249_673.35_NA","41_-1.648455486_-59.83199249_673.35_NA",673.35,1,3,7,52,1,0.134615384615385,"Frag","41_-1.7681468_-59.75461755_487.5_NA",NA,487.5,-1.7681468,-59.75461755,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.7681468_-59.75461755_487.5_NA",NA,NA,NA,FALSE,7,7,1,1,1,1,2,2,1.4142135623731,-0.762140052046897,-0.626308882313611,0.666590089376158,-0.612033548875887,-0.870064364262356,0.597858426133768,673.35,6.51226525389605,0.568357578134737,6.1892902904379,1.66564602668092,-0.762140052046897
"924",943,"Frag__41_-1.663733767_-59.71376969_471_NA",41,"Frag","41_-1.663733767_-59.71376969_471_NA",471,4,1,52,4,NA,NA,NA,NA,NA,NA,-0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,4,52,1,0.0769230769230769,"Frag","41_-1.663733767_-59.71376969_471_NA",NA,471,-1.663733767,-59.71376969,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.663733767_-59.71376969_471_NA",NA,NA,NA,FALSE,4,4,1,1,1,1,2,2,1.4142135623731,0.510825623765991,-0.626308882313611,0.666590089376158,-0.604500124337936,-0.869592448120099,0.569313024914385,487.5,6.1892902904379,0.438051084257381,6.15485809401642,1.64914316013738,0.510825623765991
"925",944,"Frag__41_-1.68181303_-59.65279017_72.1_NA",41,"Frag","41_-1.68181303_-59.65279017_72.1_NA",72.1,4,1,52,4,NA,NA,NA,NA,NA,NA,-0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,4,52,1,0.0769230769230769,"Frag","41_-1.68181303_-59.65279017_72.1_NA",NA,72.1,-1.68181303,-59.65279017,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.68181303_-59.65279017_72.1_NA",NA,NA,NA,FALSE,4,4,1,1,1,1,2,2,1.4142135623731,0.510825623765991,-0.626308882313611,0.666590089376158,-0.605804547354862,-0.86888795050786,-0.12079367486816,487.5,6.1892902904379,0.438051084257381,4.2780540442909,0.749617426087707,0.510825623765991
"926",945,"Frag__41_-1.69718653_-59.61203811_78.44_NA",41,"Frag","41_-1.69718653_-59.61203811_78.44_NA",78.44,2,1,52,2,NA,NA,NA,NA,NA,NA,-1.09861228866811,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,2,52,1,0.0384615384615385,"Frag","41_-1.69718653_-59.61203811_78.44_NA",NA,78.44,-1.69718653,-59.61203811,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.69718653_-59.61203811_78.44_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.09861228866811,-0.626308882313611,0.666590089376158,-0.606913748944037,-0.868417141144916,-0.109825320702651,487.5,6.1892902904379,0.438051084257381,4.36233400132815,0.790011621864665,1.09861228866811
"927",946,"Frag__41_-1.697857752_-59.78429368_218.74_NA",41,"Frag","41_-1.697857752_-59.78429368_218.74_NA",218.74,4,1,52,4,NA,NA,NA,NA,NA,NA,-0.510825623765991,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,4,52,1,0.0769230769230769,"Frag","41_-1.697857752_-59.78429368_218.74_NA",NA,218.74,-1.697857752,-59.78429368,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.697857752_-59.78429368_218.74_NA",NA,NA,NA,FALSE,4,4,1,1,1,1,2,2,1.4142135623731,0.510825623765991,-0.626308882313611,0.666590089376158,-0.606962177766953,-0.870407213184838,0.132897090877923,487.5,6.1892902904379,0.438051084257381,5.38788380990708,1.2815431935817,0.510825623765991
"928",947,"Frag__41_-1.718200967_-59.75856719_0.83_NA",41,"Frag","41_-1.718200967_-59.75856719_0.83_NA",0.83,3,1,52,3,NA,NA,NA,NA,NA,NA,-0.762140052046897,"Frag_vs_Frag","SR_level",41,"Frag__41_-1.7681468_-59.75461755_487.5_NA","41_-1.7681468_-59.75461755_487.5_NA",487.5,1,7,3,52,1,0.0576923076923077,"Frag","41_-1.718200967_-59.75856719_0.83_NA",NA,0.83,-1.718200967,-59.75856719,"Water","Tropical_Lowland",33,2420,"Terra firme","Brazil",2023,"Frag__41_-1.718200967_-59.75856719_0.83_NA",NA,NA,NA,FALSE,3,3,1,1,1,1,2,2,1.4142135623731,0.762140052046897,-0.626308882313611,0.666590089376158,-0.608429945445551,-0.870109994532145,-0.244092507892732,487.5,6.1892902904379,0.438051084257381,-0.186329578191493,-1.39009873430749,0.762140052046897
